pos	qual	count
0	A	73402
0	6	692
0	<	32
1	A	73530
1	6	572
1	<	24
2	A	72620
2	<	18
2	6	1488
3	A	73330
3	6	792
3	<	4
4	A	72718
4	6	1386
4	<	22
5	E	65656
5	6	2540
5	A	5926
5	<	4
6	E	68494
6	A	5044
6	6	588
7	E	69208
7	A	4442
7	6	474
7	<	2
8	A	73652
8	6	440
8	<	34
9	A	72902
9	6	1182
9	<	42
10	A	72926
10	6	1180
10	<	20
11	A	72448
11	6	1662
11	<	16
12	A	73176
12	6	928
12	<	22
13	E	69152
13	A	4244
13	6	718
13	<	12
14	E	62230
14	6	4604
14	A	7260
14	<	32
15	E	68086
15	A	5220
15	6	820
