val	count
32.6	5
31.85	4
33.41	4
33.69	5
32.87	7
45.65	9
36.17	5
38.41	8
50.28	5
65.17	2
44.92	5
43.72	39
43.13	20
52.42	5
53.08	4
47.92	4
46.86	6
57.47	9
58.95	6
62.81	2
55.68	13
46.32	9
53.32	5
61.84	12
40.0	74
38.79	3
63.52	3
38.83	11
51.82	3
35.09	9
40.19	7
42.0	25
44.41	26
43.94	20
42.76	29
42.97	17
42.4	7
35.69	5
35.15	4
45.33	31
30.92	3
30.81	5
31.81	5
30.05	1
28.68	3
36.02	4
33.86	6
31.96	1
34.32	3
34.24	9
48.0	5
35.59	4
65.03	2
61.35	2
61.16	2
60.99	3
54.82	4
42.48	7
56.11	9
29.52	1
65.69	1
63.33	4
56.82	7
57.38	9
32.32	2
52.03	3
46.91	3
46.6	5
31.83	2
29.54	1
28.27	1
33.89	7
32.26	1
31.9	1
33.68	2
43.19	32
35.38	4
40.4	7
39.64	11
39.97	9
48.94	7
54.47	6
54.44	5
65.3	5
61.97	4
40.12	16
62.96	4
63.47	3
61.46	3
39.93	8
40.38	45
40.81	21
42.12	14
42.3	27
40.91	30
41.99	24
42.84	2
42.81	35
47.62	2
44.37	17
44.77	14
34.31	3
34.64	9
55.6	3
55.43	9
45.3	2
43.17	14
43.71	14
42.95	9
34.43	14
47.73	8
60.33	5
61.12	3
63.38	2
53.8	8
55.31	3
57.25	13
57.35	8
56.46	7
57.8	8
59.61	17
58.75	7
59.47	11
59.22	15
55.16	5
52.91	5
50.64	2
53.87	6
56.0	14
61.95	5
44.83	2
47.53	4
61.59	4
61.67	9
61.36	9
62.5	9
62.82	1
59.28	5
60.56	5
58.99	13
59.5	4
59.77	8
59.17	6
59.91	11
59.33	10
58.53	6
56.64	17
56.81	13
56.02	11
56.08	14
57.55	8
57.21	8
58.55	3
57.54	9
57.23	8
57.16	1
56.33	12
56.05	7
56.34	14
45.59	7
45.06	6
46.18	4
45.6	6
37.44	11
41.14	20
43.43	20
43.09	36
59.38	8
61.49	6
64.15	2
61.92	2
58.91	11
58.89	7
60.47	5
56.35	6
56.78	10
55.09	4
57.86	6
59.01	11
60.12	7
54.5	7
61.06	5
40.1	16
44.87	7
54.22	3
36.88	4
49.67	1
56.1	8
54.62	8
59.83	5
37.31	4
57.63	9
58.88	10
57.39	15
58.68	14
58.58	7
57.58	8
57.36	6
57.61	7
43.22	5
47.7	3
39.03	6
41.43	17
38.59	4
27.27	8
36.92	2
34.6	4
34.33	8
48.58	6
44.73	7
45.58	10
35.79	3
31.04	6
46.33	11
63.31	3
41.48	16
42.94	16
44.12	14
43.91	25
44.31	11
42.75	15
44.53	13
43.83	8
54.71	5
54.91	4
52.52	3
52.57	4
43.44	8
42.59	23
45.26	8
