val	count
783	8
280	11
239	3
814	2
215	10
776	6
864	3
845	4
905	2
955	1
900	4
167	5
1016	1
170	4
848	5
179	2
1009	1
789	4
2182	2
8984	3
777	4
981	2
992	1
109	5
3271	1
3113	1
100	1
726	7
791	2
773	6
1807	2
1769	2
869	2
120	2
839	4
931	2
1297	2
887	2
146	4
1385	1
1034	1
1743	2
61	1
194	3
720	6
2619	1
892	3
148	2
68	1
916	3
101	3
1817	1
948	1
872	2
947	1
930	3
159	1
175	3
819	3
922	2
84	4
1005	1
1053	1
871	2
2597	1
967	1
919	2
879	1
934	1
115	1
1574	1
1440	1
1596	2
1350	1
1220	1
245	5
854	2
116	1
877	1
139	2
944	2
2028	1
2254	1
884	2
149	4
96	3
1555	1
866	2
1453	1
899	2
1201	1
93	1
2468	1
123	1
190	4
142	2
940	2
936	2
1164	2
221	3
229	6
25	1
850	1
1061	2
960	1
925	1
186	4
111	1
24	2
99	2
833	4
1584	1
1367	1
937	2
94	1
928	1
985	1
809	1
195	1
143	4
878	1
1074	1
974	1
901	1
155	3
910	2
1348	1
954	1
1011	1
1393	1
949	2
973	1
1381	1
1414	1
145	2
951	1
2481	2
3513	2
1514	1
1469	1
3804	1
1043	1
918	1
2603	1
2609	1
1628	1
2201	1
3209	1
2998	1
46	1
138	1
961	1
1365	1
1125	1
851	1
1069	2
114	1
1103	1
975	1
926	1
765	1
889	1
917	1
958	1
