val	count
203	4
544	14
301	265
302	400
308	1105
307	125
310	49
316	452
313	36
323	321
322	92
325	33
327	78
328	436
329	28
332	19
333	52
334	122
336	297
337	150
339	402
338	44
344	258
347	838
351	213
352	967
335	21
358	717
343	39
354	34
363	499
365	139
364	26
368	398
373	425
374	118
375	905
376	65
377	146
378	80
381	80
361	27
382	478
417	114
418	67
429	918
475	6
305	29
330	42
644	6
324	18
590	3
231	16
679	1
400	15
907	1
103	3
161	3
240	9
261	46
303	36
320	30
349	70
366	74
370	89
380	106
427	114
394	34
243	10
408	13
448	5
567	7
646	3
500	7
293	15
273	7
552	5
438	12
487	16
449	10
407	17
481	13
596	8
532	11
224	1
295	18
529	8
445	9
321	64
304	19
277	9
565	6
367	51
281	6
296	17
493	11
389	22
223	16
315	51
228	2
530	10
266	37
326	34
346	114
385	20
431	24
331	28
660	2
422	22
509	4
555	10
510	11
579	8
541	11
604	3
464	10
1019	1
442	18
685	2
403	12
102	2
345	26
501	6
575	1
785	1
357	83
279	9
425	38
311	13
1313	1
420	24
551	4
548	7
536	3
264	3
522	9
255	13
268	3
406	10
603	3
362	37
397	11
298	17
595	4
641	3
409	17
499	7
267	3
262	10
341	82
319	16
353	69
430	80
569	6
288	9
446	8
528	4
627	4
550	6
289	17
587	13
747	5
271	3
183	1
622	6
274	3
469	13
474	7
393	12
275	6
283	9
434	50
401	8
386	14
743	2
503	6
518	7
189	1
317	28
462	7
488	5
554	5
643	2
410	13
297	13
634	2
416	12
486	10
426	14
411	8
350	23
504	6
387	9
314	21
306	16
419	18
404	16
690	1
402	18
470	9
457	13
340	12
436	8
506	5
299	25
342	18
359	31
399	13
657	2
252	4
443	14
413	15
893	1
502	6
465	5
568	10
444	11
439	19
466	7
585	2
736	1
593	3
480	7
798	1
253	2
564	11
395	15
163	2
238	30
369	9
300	16
318	30
636	2
559	8
484	7
144	1
355	14
508	5
455	4
270	8
309	15
701	1
450	7
519	9
574	5
440	11
670	1
256	3
849	4
433	22
479	8
388	19
654	3
787	1
533	7
284	9
1671	1
659	3
602	1
630	2
473	9
467	9
472	7
557	7
392	23
468	9
272	5
265	9
286	5
258	2
453	4
312	12
673	1
278	7
1468	1
2826	1
628	2
572	7
549	2
191	2
428	28
447	9
561	4
405	10
478	6
383	9
482	6
615	4
671	4
477	4
441	7
495	3
97	6
437	12
112	2
553	7
489	6
182	3
207	12
233	7
525	6
621	2
535	14
435	9
695	1
624	2
294	14
208	13
384	20
847	5
623	3
491	9
169	3
497	4
597	9
853	2
110	5
681	4
292	22
463	8
606	2
591	3
210	2
835	1
396	17
669	1
202	5
421	9
498	4
471	8
147	3
755	1
414	16
247	9
74	1
423	17
490	14
494	5
588	5
282	8
254	4
242	4
733	2
476	11
543	9
460	16
218	8
772	1
699	2
516	3
625	4
412	12
642	2
459	18
562	2
213	11
515	9
135	4
458	8
686	1
360	11
398	12
547	5
672	4
372	20
432	15
454	8
589	3
379	17
285	5
248	2
583	3
640	2
527	5
647	2
598	1
573	6
517	6
415	6
613	4
612	1
424	10
185	4
48	1
205	5
291	12
287	16
356	9
371	7
1504	1
124	1
259	3
158	2
187	3
217	4
236	5
348	17
713	2
632	1
263	2
505	7
832	4
496	4
63	2
601	3
452	11
540	4
822	3
391	9
27	2
523	3
556	3
582	6
718	1
994	2
461	9
537	2
152	1
290	11
648	2
749	1
1727	1
485	3
618	4
225	6
805	1
451	9
843	1
825	4
662	2
578	3
767	1
117	1
891	1
483	4
105	1
703	2
723	1
545	5
592	2
249	4
250	4
104	1
594	3
160	1
520	7
125	1
577	3
842	1
610	2
608	1
199	2
157	1
717	4
730	2
507	8
599	1
653	1
581	1
678	4
560	4
674	2
675	1
807	2
638	1
531	6
513	7
546	5
237	5
571	4
390	8
694	2
692	4
1683	1
655	2
658	3
197	2
492	5
246	3
526	4
746	1
196	1
181	3
668	1
637	1
626	2
684	1
170	2
711	1
2182	2
109	2
3113	1
174	3
521	4
738	2
239	1
64	1
215	5
180	6
542	2
702	2
280	4
176	1
758	1
514	5
107	1
869	1
211	3
580	2
563	4
269	3
620	2
677	1
605	2
815	1
607	4
194	2
534	4
859	1
141	1
276	4
137	2
1817	1
222	3
948	1
257	1
882	1
693	5
456	5
715	1
714	1
719	1
538	1
689	2
739	2
698	2
745	1
836	2
844	1
619	1
116	1
539	6
796	1
220	2
260	2
245	1
524	5
570	2
118	2
173	1
227	1
93	1
512	4
511	4
819	1
106	2
651	1
142	1
838	1
700	1
737	1
705	1
649	1
251	3
24	2
584	1
129	1
839	1
833	1
206	2
735	1
754	1
96	2
614	1
576	3
697	1
688	1
827	3
611	4
801	2
234	1
155	3
586	1
193	1
696	1
172	1
1046	1
665	2
645	3
1381	1
1414	1
635	2
149	1
751	1
143	1
146	1
2201	1
3209	1
617	1
799	1
664	1
784	1
198	1
946	1
600	1
639	1
221	1
650	1
851	1
975	1
113	2
661	1
922	1
706	1
89	1
724	1
130	1
663	1
716	1
