geneGC	obsGC
37.89301755818701	35.260000000000005
37.89301755818701	37.425
37.89301755818701	44.77
37.89301755818701	42.18
37.89301755818701	39.989999999999995
37.89301755818701	39.19428571428572
37.89301755818701	42.25
37.89301755818701	36.480000000000004
37.89301755818701	38.42
37.89301755818701	42.58
37.89301755818701	38.27
37.89301755818701	40.81
37.89301755818701	39.03
37.89301755818701	36.88
37.89301755818701	37.82
37.89301755818701	33.33
37.89301755818701	33.22
37.89301755818701	39.64
37.89301755818701	38.72125
37.89301755818701	31.71
37.89301755818701	34.14
37.89301755818701	38.23666666666667
37.89301755818701	39.48
37.89301755818701	33.77
37.89301755818701	32.7
37.89301755818701	32.01
63.136593591905566	40.65
63.136593591905566	52.12
63.136593591905566	33.78
48.10126582278481	48.85
58.21114369501467	62.42
58.21114369501467	63.09
45.96182085168869	46.39
45.96182085168869	42.51
45.96182085168869	43.843333333333334
45.96182085168869	44.54333333333333
45.96182085168869	45.19
45.96182085168869	43.04
45.96182085168869	46.25
45.96182085168869	44.33
45.96182085168869	44.07
45.96182085168869	42.4
45.96182085168869	46.66
45.96182085168869	43.07
45.96182085168869	42.98
45.96182085168869	43.18
45.96182085168869	44.64
45.96182085168869	43.303333333333335
45.96182085168869	44.18
45.96182085168869	46.49
45.96182085168869	41.53
45.96182085168869	40.54
45.96182085168869	46.58
45.96182085168869	44.85
45.96182085168869	45.23
45.96182085168869	46.61
45.96182085168869	45.89333333333334
45.96182085168869	44.33
45.96182085168869	46.2
45.96182085168869	45.32
45.96182085168869	44.99
45.96182085168869	45.785
45.96182085168869	44.17
45.96182085168869	44.74
45.96182085168869	48.0
45.96182085168869	43.8
45.96182085168869	46.15
44.44444444444444	52.34
43.064182194616976	41.34
43.064182194616976	43.06
43.064182194616976	42.95
43.064182194616976	43.13
43.064182194616976	43.34
43.064182194616976	42.79
49.43335132218024	48.682
43.47826086956522	43.44
61.74863387978142	65.17
61.74863387978142	64.27
61.74863387978142	63.5
61.74863387978142	65.09
61.74863387978142	64.36500000000001
61.74863387978142	63.72
61.74863387978142	64.16384615384615
61.74863387978142	63.64
61.74863387978142	64.43
58.139534883720934	63.16
42.71844660194174	42.72
42.71844660194174	45.24
55.88580367618303	48.54
38.285714285714285	36.7
38.285714285714285	34.05
38.285714285714285	38.1
38.285714285714285	36.82
38.285714285714285	40.91
38.285714285714285	40.91
38.285714285714285	37.90333333333333
38.285714285714285	38.86
38.285714285714285	35.85666666666666
38.285714285714285	38.14
38.285714285714285	37.37
38.285714285714285	39.37
38.285714285714285	38.04
40.13395157135497	50.0
40.13395157135497	36.75428571428572
39.00709219858156	39.77
39.00709219858156	39.77
40.18691588785047	42.57
57.03332350339133	58.32
53.77229080932785	52.2
53.77229080932785	55.99
53.77229080932785	54.65
53.77229080932785	51.35
53.77229080932785	50.86
53.77229080932785	51.48
53.77229080932785	51.12
53.77229080932785	54.22
53.77229080932785	55.73
53.77229080932785	57.215
61.297539149888145	55.81
61.297539149888145	55.28
37.96296296296296	37.96
44.83870967741935	44.84
45.525291828793776	44.77
41.83755853382852	38.975
41.83755853382852	35.13
41.83755853382852	39.596666666666664
41.83755853382852	39.25857142857143
41.83755853382852	35.85
41.83755853382852	39.65599999999999
41.83755853382852	41.7
41.83755853382852	41.22
41.83755853382852	27.48
41.83755853382852	31.23
41.83755853382852	37.96666666666666
41.83755853382852	29.04
41.83755853382852	44.666666666666664
41.83755853382852	36.06
41.83755853382852	40.986000000000004
41.83755853382852	33.105
41.83755853382852	43.02
41.83755853382852	36.87
41.83755853382852	42.0
41.83755853382852	40.56
41.83755853382852	35.95
41.83755853382852	41.44
41.83755853382852	42.64666666666667
41.83755853382852	36.74333333333333
41.83755853382852	44.99333333333333
41.83755853382852	45.53
41.83755853382852	38.46
41.83755853382852	40.291428571428575
41.83755853382852	36.58
41.83755853382852	42.96
41.83755853382852	45.25
41.83755853382852	42.26
41.83755853382852	36.9
41.83755853382852	45.185
41.83755853382852	38.43
41.83755853382852	43.01
41.83755853382852	36.96
41.83755853382852	39.69
41.83755853382852	32.760000000000005
41.83755853382852	53.33
41.83755853382852	41.295
41.83755853382852	45.87
41.83755853382852	30.99
41.83755853382852	42.495000000000005
41.83755853382852	40.913333333333334
41.83755853382852	39.64
41.83755853382852	40.73
41.83755853382852	29.35
41.83755853382852	44.48
41.83755853382852	43.77
41.83755853382852	37.33
41.83755853382852	46.33
41.83755853382852	42.0
41.83755853382852	40.05
41.83755853382852	30.494999999999997
41.83755853382852	39.650000000000006
41.83755853382852	43.504999999999995
41.83755853382852	43.925
41.83755853382852	37.5
44.3064182194617	42.42
50.61765592045797	48.47
50.61765592045797	49.88
